Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	e49b2e98-df5e-4598-8e38-ba549b3cb7a9	Annotation	mcp	mcp	cbp	Geometry	4824.8	3739.3	78	0	752	0	0	0	NaN	0	354298.5	3520.3
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	60415460-4bf8-4641-b364-9300a69d72b4	Annotation	cm	cm	fiber tracts	Geometry	4578.3	4122.1	967	0	1009	0	0	0	NaN	0	1949276.5	32672.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	bd8390be-40e7-42cf-9d16-1db6f7dd5b8c	Annotation	drt	drt	cm	Geometry	4362.4	5562.1	792	0	967	0	0	0	NaN	0	109694.6	1794.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	ab1548a7-f6d3-4a7c-b291-cc23362b42ef	Annotation	cett	cett	drt	Geometry	4362.4	5562.1	932	0	792	0	0	0	NaN	0	109694.6	1794.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	154dbfb0-b2c7-4ef8-a767-3d1e2a578b03	Annotation	ml	ml	cett	Geometry	4362.4	5562.1	697	0	932	0	0	0	NaN	0	109694.6	1794.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	d37e8d03-ce8b-434e-b6e7-81a124177b6d	Annotation	VIIn	VIIn	cm	Geometry	6424.5	5520.8	798	0	967	0	0	0	NaN	0	3255.1	211.93
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	d37bd5f1-da36-4fe7-9e89-6a2e5dc9903b	Annotation	IIIn	IIIn	cm	Geometry	4996.8	3754.4	832	0	967	0	0	0	NaN	0	28840.2	954.34
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	85fed069-92be-4648-935d-ed7dfc09a6d3	Annotation	mlf	mlf	IIIn	Geometry	4996.8	3754.4	62	0	832	0	0	0	NaN	0	28840.2	954.34
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	4ab117f7-be28-48ed-be7e-965cdb7270e5	Annotation	Vn	Vn	cm	Geometry	4589.9	4903.6	901	0	967	0	0	0	NaN	0	597049.1	6272.1
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	115bafce-f06a-405e-858a-eccf50e6971f	Annotation	sV	sV	Vn	Geometry	4589.9	4903.6	229	0	901	0	0	0	NaN	0	597049.1	6272.1
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	ed117af0-2c35-45e9-adf7-cb47517ae0a5	Annotation	sptV	sptV	sV	Geometry	4589.9	4903.6	794	0	229	0	0	0	NaN	0	597049.1	6272.1
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	4931d0c4-f5c2-4021-b2f6-b86a364cf4d0	Annotation	IVn	IVn	cm	Geometry	5196.7	2771.3	911	0	967	0	0	0	NaN	0	6179.3	434.37
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	d4fa43cc-5419-4b7f-9e11-1b9d61a22ae6	Annotation	VIIIn	VIIIn	cm	Geometry	4574	3615.4	933	0	967	0	0	0	NaN	0	1204258.1	25363.6
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	6fb3caf6-45e9-49d3-98ff-afd8f496a780	Annotation	vVIIIn	vVIIIn	VIIIn	Geometry	5317.4	5179.1	413	0	933	0	0	0	NaN	0	96149.5	2119.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	a7f0b7b4-d3c6-4fe6-b4a7-9ebd39415b1b	Annotation	cVIIIn	cVIIIn	VIIIn	Geometry	4509.4	3479.8	948	0	933	0	0	0	NaN	0	1108108.6	23244.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	bcd73f89-0c95-4416-9099-7f870e701604	Annotation	tb	tb	cVIIIn	Geometry	4261	5639.6	841	0	948	0	0	0	NaN	0	430206.2	11544.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	7e7a850a-7d07-4f5a-92ee-6222732464d8	Annotation	cic	cic	cVIIIn	Geometry	5731.9	1226.9	633	0	948	0	0	0	NaN	0	93708.7	1537.8
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	66cae88b-8a0e-454b-9add-9cf426fea2f4	Annotation	ll	ll	cVIIIn	Geometry	4311.3	2521.1	658	0	948	0	0	0	NaN	0	424026.5	4847
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	f7fbf15e-e4b8-4065-ba7e-53df3d8f2ce1	Annotation	bic	bic	cVIIIn	Geometry	4986.4	1534.5	482	0	948	0	0	0	NaN	0	160167.2	5315.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	b8e8daf1-ff25-46ec-b9b4-69642d11eaf3	Annotation	lfbs	lfbs	fiber tracts	Geometry	4245.7	5815.5	983	0	1009	0	0	0	NaN	0	162275.6	2514.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	ee75f3ec-c348-48fe-a97d-6456d6429f33	Annotation	cst	cst	lfbs	Geometry	4245.7	5815.5	784	0	983	0	0	0	NaN	0	162275.6	2514.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	6e25d71d-dc04-4d96-939f-d8af360bad8e	Annotation	py	py	cst	Geometry	4245.7	5815.5	190	0	784	0	0	0	NaN	0	162275.6	2514.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	2e7b74e8-6312-4f0b-8aab-f38debf8ca98	Annotation	eps	eps	fiber tracts	Geometry	4601.3	4988.2	1000	0	1009	0	0	0	NaN	0	183356.9	4151.3
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	0cf72d48-ad71-4257-853a-5de1717f326d	Annotation	rust	rust	eps	Geometry	4485.9	5356.9	863	0	1000	0	0	0	NaN	0	106085.8	2276.3
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	992e46b3-f497-4c6e-adb7-0a357bc4a67a	Annotation	tsp	tsp	eps	Geometry	4759.8	4482	877	0	1000	0	0	0	NaN	0	77271	1875
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	ae9554d2-9120-4921-b11c-e7f041be568d	Annotation	tspc	tspc	tsp	Geometry	4759.8	4482	1043	0	877	0	0	0	NaN	0	77271	1875
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	aa216676-a016-46cb-95fa-8c2b3d9b5288	Annotation	dmPAG		Root object (Image)	Polygon	5356.5	1513.4	NaN	NaN	NaN	67	62	5	7.463	9.861	507030.1	3247.8
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	c01af032-869e-4451-be74-f8321274fda2	Annotation	dlPAG		Root object (Image)	Polygon	5999.2	1756.9	NaN	NaN	NaN	32	3	29	90.62	94.34	307406	2254.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	cfaac91d-ee5f-46f9-a042-399277dd7e6d	Annotation	lPAG		Root object (Image)	Polygon	6271.2	2321.5	NaN	NaN	NaN	232	92	140	60.34	250.28	559378.3	3019.5
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	73efadd1-0935-4211-a55d-7687c2022f6e	Annotation	vlPAG		Root object (Image)	Polygon	5850.3	2890.1	NaN	NaN	NaN	262	214	48	18.32	112.65	426111.7	3907.7
