Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	7ba365b9-80a5-451c-89b2-3fb73a00769e	312782594	312782594	312782574	Geometry	5167	2361.6	312782594	0	312782574	0	0	0	NaN	0	83200.4	1797.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	4be216b7-4e50-436a-9ad7-0d100d80c683	312782628	312782628	669	Geometry	923.08	2646.8	312782628	0	669	0	0	0	NaN	0	695190.4	4434.8
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	52722afa-aa65-43eb-ae6d-63454b866e7a	312782636	312782636	312782628	Geometry	747.83	2427.6	312782636	0	312782628	0	0	0	NaN	0	119516.2	2020.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	a66b5cb0-ac34-42b5-ad5d-c6d380163d5e	312782632	312782632	312782628	Geometry	673.14	2304.1	312782632	0	312782628	0	0	0	NaN	0	64377.4	1524.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	0c6e42e2-c0b7-4a85-8b01-eddaa4c86258	312782644	312782644	312782628	Geometry	922.87	2705.3	312782644	0	312782628	0	0	0	NaN	0	225213.9	2471.2
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	3499610c-0ff5-4b0d-8b98-5c83c6eef5f0	312782640	312782640	312782628	Geometry	814.88	2547.6	312782640	0	312782628	0	0	0	NaN	0	67628.9	1791.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	94ff6dca-5e30-4207-b9a0-8ba2464787f5	312782652	312782652	312782628	Geometry	1192.5	2889.6	312782652	0	312782628	0	0	0	NaN	0	42535.8	2481.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	5eff7893-b461-40f3-8c9a-dc3fb0a9069c	312782648	312782648	312782628	Geometry	1110.3	2825.7	312782648	0	312782628	0	0	0	NaN	0	175918.3	2632.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	3e0f294c-b422-4ecf-b977-8f60592ff737	385	385	669	Geometry	5164.1	1128.8	385	0	669	0	0	0	NaN	0	3707929.8	12142.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	8e829d7c-4000-4e68-bd4f-dd7a6abc13f0	33	33	385	Geometry	5041.3	1490.4	33	0	385	0	0	0	NaN	0	675687.4	8082
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	85dcd821-b801-487b-b705-7e71197ccabd	593	593	385	Geometry	5173.4	801.13	593	0	385	0	0	0	NaN	0	503433.9	10146.8
